candidate_id,gender,resume_gender_signal,years_experience,education_level,programming_skill,leadership_score,communication_score,company_tier,project_experience,interview_score,hired
C0479,Female,0.422,3,1,75,60,43,1,2,45,0
C0480,Male,0.638,5,1,42,78,58,1,5,62,1
C0481,Male,0.857,5,2,41,74,69,1,3,78,1
C0482,Male,0.886,6,1,70,38,69,2,3,42,1
C0483,Male,0.684,4,1,67,68,35,1,2,73,1
C0484,Male,1.0,4,3,53,56,60,3,4,100,1
C0485,Male,0.753,5,2,67,61,42,2,5,79,1
C0486,Female,0.206,4,2,93,49,74,2,4,85,0
C0487,Male,0.704,5,3,77,86,72,2,5,66,1
C0488,Male,0.496,6,1,44,75,49,1,5,78,0
C0489,Female,0.461,1,3,62,48,51,2,4,51,1
C0490,Female,0.626,5,1,50,39,55,4,1,75,0
C0491,Male,0.805,2,1,58,54,30,3,3,73,1
C0492,Male,0.704,4,1,57,66,66,3,2,67,0
C0493,Male,0.795,5,1,56,63,58,3,4,84,1
C0494,Male,0.723,5,1,42,78,75,1,4,54,1
C0495,Male,0.755,6,1,62,71,46,1,2,60,0
C0496,Male,0.926,4,2,54,74,53,1,3,64,0
C0497,Male,0.828,1,1,12,64,40,2,2,46,0
C0498,Male,0.891,6,1,100,39,47,1,5,66,1
C0499,Female,0.122,1,2,84,57,45,2,1,35,0
C0500,Female,0.0,7,1,58,75,75,2,5,79,1
C0501,Male,0.627,6,1,65,59,52,3,1,63,1
C0502,Male,0.744,4,2,43,67,63,3,2,54,1
C0503,Male,0.302,0,1,95,55,56,4,5,49,0
C0504,Female,0.256,4,1,99,44,44,1,3,59,1
C0505,Male,0.788,4,2,67,58,59,1,5,74,0
C0506,Male,0.885,1,1,83,64,70,2,4,71,0
C0507,Female,0.092,1,1,68,50,45,1,1,51,0
C0508,Female,0.106,4,2,40,56,73,1,1,49,1
C0509,Female,0.341,4,2,57,45,50,2,3,73,0
C0510,Female,0.199,4,1,67,76,55,1,1,51,0
C0511,Male,0.548,1,1,56,55,69,2,1,63,1
C0512,Male,0.619,4,0,61,81,52,2,3,64,0
C0513,Female,0.345,4,1,63,82,62,2,5,67,1
C0514,Female,0.308,7,1,63,58,57,2,2,76,1
C0515,Male,0.856,3,1,65,44,63,2,5,42,1
C0516,Male,0.803,0,3,45,28,28,1,4,32,0
C0517,Male,0.797,2,1,52,37,36,1,4,53,0
C0518,Female,0.259,0,1,41,39,70,2,1,91,0
C0519,Female,0.07,3,1,82,80,76,3,4,95,0
C0520,Male,0.864,2,2,27,61,49,3,2,92,0
C0521,Male,0.592,6,1,85,65,58,2,1,59,1
C0522,Male,0.889,4,1,89,26,66,1,4,34,1
C0523,Female,0.323,3,2,59,42,71,2,0,25,0
C0524,Female,0.054,7,1,18,73,33,2,0,53,0
C0525,Female,0.498,6,1,58,64,49,2,0,59,1
C0526,Male,0.549,4,1,63,57,57,2,0,83,0
C0527,Male,0.713,1,0,46,68,71,2,5,76,0
C0528,Male,0.672,5,1,55,84,96,2,0,66,0
C0529,Male,0.528,3,1,92,56,58,3,1,48,1
C0530,Female,0.016,1,1,76,61,42,1,3,47,0
C0531,Female,0.354,3,0,48,62,67,3,5,67,1
C0532,Female,0.051,7,2,36,95,80,1,3,74,0
C0533,Female,0.107,3,3,59,28,63,1,1,69,1
C0534,Male,0.924,1,2,61,70,49,4,1,46,1
C0535,Female,0.354,7,2,73,58,75,4,2,73,0
C0536,Female,0.009,2,1,55,68,71,1,5,69,0
C0537,Female,0.364,0,3,74,50,47,2,3,45,0
C0538,Male,0.866,4,1,99,59,67,1,0,50,1
C0539,Male,0.713,3,3,79,70,75,2,1,74,1
C0540,Male,0.574,4,3,64,100,78,3,0,59,0
C0541,Female,0.0,5,2,61,72,61,4,3,88,1
C0542,Male,0.779,1,3,58,47,56,2,5,71,1
C0543,Male,0.751,4,1,86,53,79,2,4,55,0
C0544,Male,0.817,1,1,53,53,45,2,4,62,1
C0545,Male,0.764,4,1,65,33,68,2,1,64,0
C0546,Male,0.818,0,1,65,55,42,4,2,51,0
C0547,Male,0.993,0,1,55,70,76,3,0,48,1
C0548,Male,0.781,7,1,40,40,58,2,1,74,1
C0549,Male,0.626,0,3,70,75,79,2,2,76,0
C0550,Female,0.235,7,1,63,67,68,1,0,72,1
C0551,Male,0.73,0,2,74,48,44,1,3,87,0
C0552,Female,0.319,0,2,55,57,81,3,4,54,0
C0553,Male,0.976,0,2,86,83,83,2,2,89,1
C0554,Male,0.816,1,3,49,71,74,2,0,48,0
C0555,Female,0.279,3,1,95,60,51,2,1,46,0
C0556,Male,0.616,7,3,33,56,57,3,0,34,0
C0557,Male,0.802,4,2,72,61,64,1,1,55,1
C0558,Male,0.85,0,1,73,52,52,3,4,54,1
C0559,Female,0.064,1,1,50,28,85,3,4,71,0
C0560,Male,0.728,1,2,72,90,64,4,0,66,0
C0561,Male,0.711,1,1,88,62,24,2,0,43,0
C0562,Male,0.796,7,1,25,65,66,1,1,56,1
C0563,Male,0.443,3,2,74,59,57,2,1,57,1
C0564,Male,0.635,7,1,20,48,60,2,2,34,0
C0565,Male,0.706,4,1,47,57,56,1,2,47,1
C0566,Male,0.981,3,2,94,36,73,2,2,50,0
C0567,Male,0.678,2,1,54,94,77,2,0,85,0
C0568,Male,0.827,6,0,43,41,65,3,5,66,1
C0569,Female,0.395,1,0,61,44,57,1,5,73,1
C0570,Male,0.995,7,1,100,53,61,2,5,39,1
C0571,Male,0.989,2,2,32,79,62,3,5,82,0
C0572,Female,0.118,5,1,46,60,50,3,2,83,1
C0573,Male,0.729,7,1,91,41,70,3,0,31,1
C0574,Male,0.7,0,1,98,78,68,3,5,51,1
C0575,Female,0.431,6,1,63,70,83,4,4,70,1
C0576,Female,0.015,0,2,42,68,79,2,3,73,0
C0577,Male,0.883,3,2,100,70,52,2,4,52,1
C0578,Female,0.279,6,1,93,95,73,1,0,58,0
C0579,Male,0.889,7,1,77,92,48,1,0,53,1
C0580,Male,0.989,4,0,50,49,71,1,3,64,0
C0581,Male,1.0,2,1,64,84,54,1,1,82,1
C0582,Female,0.067,4,2,62,65,47,1,1,50,0
C0583,Male,0.965,7,1,70,67,65,1,1,79,1
C0584,Male,0.747,3,1,91,34,24,1,2,50,0
C0585,Male,0.978,0,1,80,57,37,4,1,49,1
C0586,Male,0.959,6,2,45,47,59,1,2,76,1
C0587,Male,0.951,4,3,89,72,63,3,2,77,1
C0588,Male,0.814,7,0,70,76,56,1,1,76,0
C0589,Male,0.7,4,2,77,28,39,4,1,41,1
C0590,Male,0.591,7,1,91,59,50,3,3,55,1
C0591,Male,0.794,0,1,44,76,67,2,5,76,1
C0592,Male,1.0,6,2,64,57,70,2,3,63,0
C0593,Male,0.754,2,2,55,70,61,1,2,45,0
C0594,Male,0.918,0,3,36,65,78,4,3,70,1
C0595,Female,0.149,4,1,71,65,67,3,2,51,1
C0596,Male,0.757,2,1,100,55,51,3,0,91,0
C0597,Male,0.997,7,2,31,41,58,2,2,87,0
C0598,Male,0.364,2,1,64,43,42,2,2,72,0
C0599,Male,0.617,7,1,76,70,60,3,3,84,1
C0600,Male,0.663,0,1,67,60,77,1,5,64,0
C0601,Male,0.677,4,2,62,57,71,2,0,75,0
C0602,Male,0.85,3,1,41,53,81,1,4,86,1
C0603,Male,0.844,4,1,69,55,57,4,4,66,1
C0604,Male,0.859,7,2,51,75,80,1,5,58,1
C0605,Male,0.889,1,1,25,54,59,1,4,35,0
C0606,Male,0.657,6,1,86,39,82,2,0,61,1
C0607,Male,0.617,5,1,82,71,61,3,1,76,1
C0608,Male,0.859,3,0,65,56,71,2,0,78,0
C0609,Male,0.705,2,0,69,60,82,1,3,71,0
C0610,Male,0.564,3,1,84,84,59,1,2,54,0
C0611,Male,0.946,6,2,69,59,65,3,2,31,1
C0612,Female,0.328,2,1,81,64,80,4,3,55,0
C0613,Male,1.0,6,3,59,42,60,3,3,58,1
C0614,Male,0.828,2,1,88,56,43,2,2,57,1
C0615,Female,0.305,3,1,70,69,92,4,5,72,1
C0616,Female,0.401,2,1,68,36,55,2,1,94,0
C0617,Male,0.704,2,1,42,63,64,2,1,64,0
C0618,Male,0.967,1,2,70,61,78,2,1,59,1
C0619,Female,0.461,4,1,50,60,53,2,3,58,0
C0620,Female,0.054,4,1,53,75,47,3,2,64,0
C0621,Male,0.828,5,2,50,65,65,2,5,49,1
C0622,Male,0.994,5,2,45,82,36,2,2,64,1
C0623,Male,0.834,7,2,100,45,57,1,2,70,1
C0624,Male,0.577,7,1,88,62,65,1,5,66,1
C0625,Male,1.0,7,2,99,61,58,2,0,70,1
C0626,Male,0.658,1,1,42,43,40,1,5,69,0
C0627,Male,0.988,5,1,66,74,84,1,0,34,0
C0628,Female,0.437,6,1,41,94,63,2,4,73,1
C0629,Male,0.976,7,1,52,59,82,2,0,52,1
C0630,Male,0.97,7,1,48,67,58,3,1,45,1
C0631,Male,0.865,3,1,87,61,49,2,1,45,1
C0632,Female,0.197,0,2,57,49,65,3,5,69,1
C0633,Male,0.863,6,1,84,32,58,4,1,59,1
C0634,Male,0.498,7,1,75,49,45,3,1,36,0
C0635,Male,0.818,7,1,100,39,82,2,4,70,1
C0636,Male,0.633,7,2,38,85,53,2,1,39,1
C0637,Male,0.826,0,1,87,58,36,4,3,65,1
C0638,Male,0.629,0,1,85,54,80,1,3,66,1
C0639,Male,0.622,1,2,47,73,54,1,3,77,0
C0640,Male,1.0,6,2,83,43,53,2,0,91,1
C0641,Male,0.96,1,1,71,48,37,1,5,41,1
C0642,Male,0.799,2,2,60,61,86,4,5,62,0
C0643,Male,0.828,0,2,50,75,43,2,2,58,1
C0644,Male,0.763,3,2,52,67,62,2,4,69,0
C0645,Male,0.885,5,1,100,63,74,2,3,66,1
C0646,Female,0.118,3,2,65,61,67,2,3,57,0
C0647,Male,0.949,5,1,79,66,61,1,1,55,1
C0648,Male,0.762,0,1,50,63,38,2,3,45,0
C0649,Female,0.305,0,1,50,44,50,3,1,78,1
C0650,Male,0.803,0,0,84,60,64,2,1,70,0
C0651,Male,0.711,1,1,40,43,50,3,2,77,0
C0652,Male,0.849,6,2,57,61,64,1,0,58,1
C0653,Male,0.719,5,0,65,52,71,1,1,52,1
C0654,Female,0.478,6,1,67,98,75,1,1,45,0
C0655,Male,0.982,1,1,61,59,44,2,5,68,1
C0656,Male,0.692,1,1,72,38,92,3,2,46,1
C0657,Male,0.78,4,3,77,57,72,3,1,92,1
C0658,Male,0.869,3,1,78,67,61,2,4,42,1
C0659,Male,0.735,3,1,47,85,77,2,0,67,1
C0660,Male,0.87,2,1,59,51,95,3,4,88,1
C0661,Male,0.883,7,1,86,36,41,1,3,72,1
C0662,Female,0.137,1,0,81,72,58,1,0,65,0
C0663,Male,0.709,5,2,40,39,28,4,3,47,0
C0664,Male,0.659,4,3,71,53,64,2,5,40,1
C0665,Male,0.754,4,1,29,56,67,4,1,75,1
C0666,Male,0.655,7,2,65,58,61,2,2,87,0
C0667,Male,0.885,6,2,99,70,52,3,4,55,1
C0668,Male,0.626,7,2,47,49,33,1,3,44,0
C0669,Male,1.0,7,1,49,55,67,1,1,23,0
C0670,Male,0.994,7,1,78,59,82,2,4,47,1
C0671,Male,0.802,3,1,37,62,53,2,4,61,0
C0672,Female,0.296,1,2,53,61,68,1,5,88,1
C0673,Male,0.554,2,2,75,66,40,1,5,73,1
C0674,Male,1.0,1,1,53,72,68,1,3,67,1
C0675,Male,0.711,6,1,60,65,56,3,1,56,1
C0676,Female,0.206,0,2,78,66,51,2,2,53,1
C0677,Male,0.522,7,2,72,36,51,1,3,85,1
C0678,Male,0.873,1,3,69,60,56,1,4,66,1
C0679,Female,0.217,6,2,58,67,67,1,4,29,0
C0680,Female,0.0,0,1,71,70,43,2,0,52,0
C0681,Female,0.254,0,1,62,49,56,1,1,49,0
C0682,Male,0.638,7,2,73,50,61,3,0,54,1
C0683,Male,0.679,2,1,56,51,46,1,5,72,1
C0684,Male,0.834,5,1,61,68,87,1,2,61,0
C0685,Female,0.118,3,2,47,75,50,3,3,61,0
C0686,Male,0.688,1,1,64,53,52,3,4,84,1
C0687,Male,0.899,0,2,50,73,48,1,1,51,1
C0688,Male,1.0,1,1,44,61,87,3,4,92,1
C0689,Female,0.331,5,3,69,58,69,2,5,52,1
C0690,Male,0.662,3,0,68,56,48,3,0,64,1
C0691,Male,0.745,5,1,79,71,77,2,0,58,0
C0692,Male,0.805,3,1,57,64,64,2,3,64,1
C0693,Male,0.748,4,1,72,94,65,4,1,70,1
C0694,Male,0.935,3,2,74,47,57,1,5,69,1
C0695,Male,0.833,7,2,73,67,51,2,1,50,1
C0696,Male,0.936,2,1,50,52,66,2,3,45,0
C0697,Male,0.753,5,1,67,46,54,1,5,100,1
C0698,Male,0.999,0,1,71,59,87,1,5,55,1
C0699,Male,0.775,7,1,65,62,44,1,0,74,0
C0700,Male,0.654,4,2,27,100,83,2,0,37,0
C0701,Male,1.0,2,2,67,57,60,2,0,58,1
C0702,Male,0.526,1,2,100,43,66,2,4,60,1
C0703,Male,0.689,7,2,58,64,73,1,2,70,1
C0704,Male,0.706,5,1,51,28,53,2,0,19,1
C0705,Male,1.0,6,2,71,58,74,4,2,65,1
C0706,Female,0.341,6,2,70,60,24,2,2,44,1
C0707,Male,1.0,0,2,86,71,51,2,1,68,1
C0708,Female,0.382,3,2,42,74,49,3,3,46,0
C0709,Male,1.0,0,1,78,52,44,3,4,49,1
C0710,Male,0.855,6,2,75,57,58,2,2,58,1
C0711,Female,0.177,1,1,62,48,67,3,4,46,1
C0712,Male,0.827,4,1,71,43,71,2,1,55,0
C0713,Male,0.793,4,1,83,64,65,3,0,43,1
C0714,Male,0.762,5,3,80,40,52,1,5,33,0
C0715,Male,0.769,4,2,44,53,67,1,2,79,0
C0716,Female,0.178,5,2,79,45,63,1,3,42,1
C0717,Female,0.205,7,2,63,68,75,3,5,60,0
C0718,Female,0.363,5,1,66,87,72,2,1,75,1
C0719,Male,1.0,7,2,66,40,62,1,4,53,1
C0720,Female,0.202,5,1,62,32,49,1,0,49,1
C0721,Female,0.11,6,1,86,58,52,4,4,66,0
C0722,Male,0.908,6,1,63,60,54,3,3,80,0
C0723,Male,0.972,3,2,44,63,57,2,2,44,1
C0724,Female,0.335,7,2,57,53,65,2,3,60,0
C0725,Male,0.831,2,1,68,56,72,2,4,35,0
C0726,Female,0.131,7,0,87,65,61,2,4,56,1
C0727,Male,1.0,5,2,75,75,62,4,5,63,1
C0728,Female,0.238,5,0,49,30,64,1,3,49,0
C0729,Male,0.84,2,2,100,54,54,2,3,55,1
C0730,Male,1.0,0,3,69,63,49,2,3,40,0
C0731,Male,0.481,5,1,87,46,37,2,0,64,0
C0732,Female,0.318,3,1,62,85,52,2,4,79,0
C0733,Male,1.0,4,2,74,50,68,2,1,45,1
C0734,Male,0.964,4,2,80,59,52,1,0,53,1
C0735,Male,0.878,1,1,86,68,58,2,0,71,1
C0736,Female,0.373,1,3,84,51,68,1,0,82,0
C0737,Male,0.668,4,1,80,32,69,1,5,39,0
C0738,Female,0.145,4,1,59,53,46,1,1,60,1
C0739,Male,1.0,6,2,54,75,75,3,3,67,1
C0740,Male,0.706,3,2,70,54,77,2,5,61,0
C0741,Male,0.815,2,1,81,47,46,2,4,23,1
C0742,Male,0.687,1,2,60,73,50,3,2,71,0
C0743,Female,0.297,6,1,84,55,78,2,5,87,1
C0744,Male,0.719,6,1,91,52,59,2,2,64,0
C0745,Male,0.785,2,1,48,62,30,2,4,46,1
C0746,Female,0.656,6,2,49,71,42,2,1,54,1
C0747,Male,0.558,7,1,62,95,58,2,2,91,1
C0748,Male,0.801,3,1,70,72,45,2,0,77,0
C0749,Female,0.112,4,1,55,77,56,3,5,73,0
C0750,Male,1.0,5,2,89,52,62,3,2,68,1
C0751,Male,0.491,2,2,72,44,82,1,4,52,1
C0752,Female,0.369,4,2,65,60,57,1,0,59,0
C0753,Male,0.803,4,1,39,61,77,2,2,61,0
C0754,Male,0.745,0,1,41,43,82,2,4,71,1
C0755,Male,0.634,7,1,70,57,82,1,1,87,1
C0756,Female,0.235,2,2,26,65,65,3,4,80,0
C0757,Male,0.651,6,2,83,65,34,1,1,40,0
C0758,Male,0.757,5,0,62,67,68,4,0,66,0
C0759,Female,0.157,2,2,100,64,76,3,4,74,1
C0760,Female,0.224,6,1,100,52,60,3,3,72,0
C0761,Male,0.977,4,1,61,52,86,1,5,52,1
C0762,Male,0.876,5,1,63,42,74,1,3,100,1
C0763,Male,0.967,6,1,82,86,69,2,3,42,1
C0764,Female,0.377,3,1,95,60,77,1,3,45,1
C0765,Male,0.754,6,1,35,56,66,2,5,66,1
C0766,Male,0.996,0,1,32,46,27,2,3,96,0
C0767,Female,0.07,7,2,53,100,55,1,1,49,0
C0768,Female,0.085,4,1,75,43,78,1,4,58,0
C0769,Male,1.0,6,1,73,53,50,3,0,80,0
C0770,Female,0.0,7,2,84,66,58,1,3,62,1
C0771,Male,0.725,1,1,43,69,47,1,3,57,1
C0772,Female,0.0,1,1,23,74,86,2,0,72,0
C0773,Male,0.706,7,2,80,87,85,4,0,67,1
C0774,Male,0.615,7,1,50,67,49,2,3,79,1
C0775,Female,0.318,0,1,28,44,64,1,1,83,0
C0776,Male,0.582,3,1,67,56,52,2,0,67,1
C0777,Male,0.891,4,2,79,64,70,4,4,67,1
C0778,Female,0.419,2,1,62,91,69,3,4,66,1
C0779,Female,0.108,0,2,56,39,73,2,1,70,0
C0780,Male,1.0,3,1,62,78,66,2,5,63,0
C0781,Male,0.877,7,1,58,62,100,2,2,62,0
C0782,Male,0.912,2,1,40,72,47,1,1,82,1
C0783,Male,0.686,7,2,52,58,38,2,3,87,0
C0784,Male,0.893,7,1,74,47,56,3,2,38,0
C0785,Male,0.969,1,1,70,71,40,4,3,63,1
C0786,Female,0.389,1,1,68,69,41,1,4,51,1
C0787,Male,1.0,2,1,47,74,47,1,0,58,1
C0788,Male,0.807,0,3,61,59,49,2,3,69,0
C0789,Male,0.971,1,1,25,51,48,3,4,73,0
C0790,Female,0.0,4,1,68,36,69,3,1,61,0
C0791,Male,0.888,7,1,90,72,54,1,3,32,1
C0792,Male,0.549,5,3,38,66,59,1,4,47,0
C0793,Male,0.856,6,1,54,45,74,2,0,77,1
C0794,Male,0.69,2,1,70,51,51,2,3,19,0
C0795,Male,0.673,2,2,87,52,58,3,5,81,1
C0796,Female,0.0,1,2,56,37,67,2,4,71,0
C0797,Female,0.359,0,1,52,47,34,3,3,84,0
C0798,Male,0.65,7,1,29,42,28,2,0,59,0
C0799,Male,0.746,4,1,66,53,66,3,3,30,0
C0800,Female,0.175,0,1,100,48,68,2,3,69,1
C0801,Male,1.0,3,1,69,35,90,3,5,83,1
C0802,Male,0.696,3,1,64,90,64,1,4,77,0
C0803,Male,0.879,5,1,70,78,73,2,2,52,0
C0804,Male,1.0,1,1,64,48,59,1,3,64,0
C0805,Male,0.725,1,2,50,64,66,2,2,54,0
C0806,Female,0.294,1,3,79,66,85,2,1,49,1
C0807,Female,0.0,5,1,69,77,32,1,3,78,0
C0808,Female,0.225,3,1,65,47,67,4,2,43,1
C0809,Male,0.94,0,1,47,76,91,1,1,48,0
C0810,Male,0.771,5,3,88,51,65,3,5,45,1
C0811,Female,0.397,5,1,76,39,85,4,4,39,0
C0812,Female,0.33,0,1,55,70,53,1,3,65,0
C0813,Male,0.749,1,1,83,79,61,2,4,81,0
C0814,Female,0.338,4,1,56,98,62,1,1,60,0
C0815,Female,0.306,0,1,50,42,30,1,4,38,0
C0816,Male,0.82,3,1,51,70,45,2,4,76,1
C0817,Male,0.797,2,0,33,53,46,4,0,89,0
C0818,Male,0.782,7,3,73,71,73,1,1,52,1
C0819,Male,0.784,2,1,32,37,74,2,4,55,0
C0820,Male,0.783,6,2,42,41,66,2,2,71,1
C0821,Female,0.2,6,2,27,48,73,3,1,88,0
C0822,Male,0.891,5,1,63,61,59,1,0,54,1
C0823,Male,0.863,7,1,62,50,78,2,3,41,0
C0824,Male,0.345,2,1,59,69,62,2,5,73,0
C0825,Male,0.845,4,1,46,75,62,2,4,75,1
C0826,Female,0.0,1,2,43,68,58,4,2,63,0
C0827,Male,0.897,3,2,73,84,71,3,0,54,1
C0828,Male,1.0,6,1,55,66,56,1,1,78,1
C0829,Female,0.064,4,1,70,41,75,2,5,71,0
C0830,Male,0.761,3,2,49,80,46,2,5,50,0
C0831,Male,0.71,3,2,68,50,46,2,4,63,0
C0832,Male,0.985,1,2,88,73,71,2,0,41,1
C0833,Male,0.814,7,1,75,83,60,2,0,73,1
C0834,Male,1.0,5,1,57,66,55,2,2,58,0
C0835,Male,0.862,2,2,69,37,74,4,3,56,1
C0836,Male,0.836,1,2,60,46,53,1,3,62,0
C0837,Female,0.292,4,1,65,79,59,4,3,63,1
C0838,Male,0.923,5,0,59,57,81,2,5,77,1
C0839,Male,0.539,4,1,62,61,83,2,5,72,1
C0840,Male,0.813,5,1,68,71,84,3,1,60,0
C0841,Male,0.789,7,1,47,70,58,2,5,75,1
C0842,Male,0.909,6,3,46,64,79,2,5,69,1
C0843,Male,0.772,4,1,40,56,48,2,0,56,1
C0844,Female,0.315,1,2,36,55,49,2,1,61,0
C0845,Male,0.801,5,1,43,72,29,4,0,60,0
C0846,Male,0.638,5,2,67,68,85,3,2,71,1
C0847,Male,0.511,3,3,48,56,49,1,2,57,1
C0848,Female,0.173,3,1,74,76,60,1,1,56,0
C0849,Male,0.887,0,0,65,58,49,2,1,94,0
C0850,Male,0.87,4,1,29,47,71,1,5,78,0
C0851,Male,0.995,3,1,76,48,56,2,2,50,0
C0852,Female,0.0,0,2,79,45,43,1,4,72,0
C0853,Male,0.585,6,2,47,55,68,2,3,64,1
C0854,Female,0.164,6,1,72,78,41,1,5,69,1
C0855,Male,0.748,3,1,49,47,50,2,3,65,0
C0856,Male,0.674,4,1,66,62,32,2,2,82,1
C0857,Male,0.788,5,2,42,50,42,2,3,68,0
C0858,Male,0.708,2,0,32,56,64,4,4,62,0
C0859,Male,0.525,7,1,58,37,34,3,4,79,0
C0860,Male,0.734,4,1,62,56,41,2,0,66,0
C0861,Female,0.14,7,1,57,57,61,1,1,64,0
C0862,Male,0.835,1,1,43,68,54,3,3,68,1
C0863,Male,0.702,6,2,57,63,89,4,4,61,1
C0864,Male,0.967,3,1,69,42,87,3,1,63,0
C0865,Male,1.0,3,1,64,76,49,1,1,53,1
C0866,Male,0.902,7,2,68,63,69,4,0,50,1
C0867,Male,0.567,5,2,52,62,72,1,1,47,0
C0868,Male,1.0,7,0,86,59,53,3,1,40,1
C0869,Female,0.282,1,1,43,52,41,4,5,48,0
C0870,Female,0.309,5,1,73,63,61,1,2,60,0
C0871,Male,0.998,1,1,86,67,59,4,0,64,0
C0872,Male,0.717,2,1,73,33,55,2,0,58,0
C0873,Male,0.52,6,1,61,51,68,4,3,25,0
C0874,Male,0.686,3,1,55,56,51,1,1,88,1
C0875,Male,1.0,3,2,83,63,45,4,3,80,1
C0876,Male,0.576,2,1,39,77,63,1,5,70,0
C0877,Male,0.8,0,2,47,48,67,3,4,93,1
C0878,Male,0.805,6,1,57,52,45,2,1,47,1
C0879,Male,0.723,5,3,87,52,74,2,4,93,1
C0880,Male,0.733,2,2,71,47,37,1,2,47,0
C0881,Male,0.811,5,2,47,54,53,3,5,66,0
C0882,Male,0.716,7,2,59,71,58,1,1,42,0
C0883,Male,0.587,4,2,53,44,53,2,3,63,0
C0884,Male,0.832,3,1,52,66,54,1,3,69,0
C0885,Female,0.424,5,1,82,34,88,4,1,60,0
C0886,Male,0.93,1,1,40,51,50,1,3,74,0
C0887,Male,0.679,5,2,93,55,96,1,1,64,1
C0888,Male,0.612,4,2,79,85,68,1,0,54,1
C0889,Male,0.757,6,1,84,55,63,2,3,53,1
C0890,Male,1.0,3,1,56,26,68,1,1,75,0
C0891,Female,0.302,7,1,62,30,97,2,1,52,0
C0892,Female,0.243,2,2,39,60,48,3,3,77,1
C0893,Female,0.55,7,1,55,69,46,3,0,82,1
C0894,Male,0.863,4,1,73,65,51,2,3,36,0
C0895,Male,0.818,3,1,88,62,62,1,1,81,1
C0896,Male,0.899,5,1,45,77,37,2,0,95,1
C0897,Male,0.718,6,2,58,51,62,1,4,67,1
C0898,Female,0.076,0,2,62,73,85,3,2,72,1
C0899,Male,0.908,6,2,39,35,64,1,3,79,1
C0900,Male,0.986,0,1,75,46,57,2,5,58,0
C0901,Male,0.632,1,1,51,32,53,2,1,65,0
C0902,Male,0.923,6,1,61,55,74,3,0,41,1
C0903,Male,1.0,3,2,56,59,50,1,0,65,0
C0904,Male,0.8,0,1,50,61,87,2,4,70,0
C0905,Male,0.677,2,1,64,60,89,1,3,71,0
C0906,Female,0.265,3,1,61,46,65,3,5,80,1
C0907,Female,0.076,2,2,58,57,61,4,0,50,0
C0908,Male,0.707,6,1,51,37,76,2,4,54,0
C0909,Male,0.865,2,2,70,80,77,2,1,93,0
C0910,Male,0.559,0,1,94,55,50,4,4,60,1
C0911,Male,0.583,3,1,67,52,54,2,3,66,0
C0912,Male,0.803,5,0,82,83,43,2,4,61,1
C0913,Male,0.797,4,1,39,41,67,2,0,49,0
C0914,Male,0.852,0,1,67,43,71,2,0,88,1
C0915,Male,1.0,0,1,45,43,43,1,2,54,0
C0916,Male,0.816,5,1,38,58,55,3,4,44,1
C0917,Male,0.89,3,2,51,66,43,2,1,55,0
C0918,Female,0.091,3,1,86,71,49,1,5,30,0
C0919,Female,0.116,7,2,82,98,69,3,5,52,0
C0920,Male,0.721,6,1,69,26,51,2,3,47,0
C0921,Female,0.22,2,2,37,69,57,1,2,72,0
C0922,Male,0.784,6,1,61,51,39,2,4,52,1
C0923,Female,0.198,5,1,70,51,64,3,1,77,0
C0924,Female,0.113,6,1,68,50,61,3,2,85,0
C0925,Male,0.458,5,1,31,46,51,4,0,75,0
C0926,Male,0.768,3,1,48,85,59,3,3,59,0
C0927,Male,0.87,2,2,63,72,64,1,4,65,0
C0928,Male,0.823,6,2,74,60,50,2,5,38,0
C0929,Male,0.985,0,2,25,80,41,3,1,60,1
C0930,Male,0.866,1,2,62,37,87,2,0,49,1
C0931,Male,0.715,7,1,67,40,53,2,2,74,1
C0932,Female,0.18,4,1,80,27,60,2,3,100,0
C0933,Female,0.122,0,1,77,49,76,2,2,70,0
C0934,Male,0.954,3,1,75,62,100,4,5,31,0
C0935,Male,0.741,4,1,50,61,44,2,2,57,1
C0936,Male,0.804,1,1,30,62,68,2,1,64,1
C0937,Male,0.863,1,1,57,38,52,4,0,64,1
C0938,Female,0.013,2,1,83,72,54,2,4,51,0
C0939,Male,0.893,4,2,90,63,51,1,1,66,1
C0940,Male,1.0,2,2,77,70,46,2,5,43,1
C0941,Male,0.774,0,1,72,31,61,3,3,47,0
C0942,Male,0.631,5,2,71,64,41,3,5,73,1
C0943,Male,0.79,5,3,54,42,75,3,5,46,1
C0944,Female,0.0,5,1,62,54,62,3,2,71,1
C0945,Male,0.851,4,1,95,68,67,1,3,41,0
C0946,Male,0.868,5,1,48,61,55,3,1,91,1
C0947,Male,1.0,0,2,94,47,56,3,5,50,1
C0948,Female,0.106,2,2,59,60,66,1,1,59,0
C0949,Female,0.233,4,1,88,37,45,1,4,68,0
C0950,Male,0.671,2,1,39,77,56,4,2,53,1
C0951,Male,0.747,4,1,75,56,49,3,1,65,1
C0952,Male,0.571,2,1,51,76,49,3,3,72,1
C0953,Male,0.771,1,1,39,52,32,3,5,78,1
C0954,Female,0.127,2,2,68,52,80,2,4,75,0
C0955,Male,0.845,5,2,83,48,52,2,3,60,1
C0956,Male,0.706,1,2,49,73,78,2,2,60,1
C0957,Male,0.813,2,2,38,49,76,1,4,100,0
C0958,Male,0.75,4,2,63,69,43,3,4,78,1
